,title,yes_disaster
38,Editorial Observer: A New Age of Viral Terror,0
39,"Death Toll in Assam Hooch Tragedy Touches 94, Health Minister Says New Casualty Every 10 Minutes - News18",0
40,"Coach of Himalayan Queen Train Derails Near Panipat After Wheel Jam, Passengers Safe - News18",0
41,Superman's Metropolis is Real—It's a Small Town in Illinois,0
42,Northern Ireland Could Be Brexit's Biggest Casualty,0
43,Ta-Nehisi Coates Deletes Twitter Account Amid Feud With Cornel West,0
44,"What you need to know about every 'Game of Thrones' dragon, and why they'll die",0
45,Magnitude 7.1 Earthquake Strikes Peru,1
46,Twitter thread proves this British kids' cartoon is the most traumatising show ever,0
47,"'My Toronto is a beautiful city': After van attack, residents refuse to be deterred by fear",0
48,All the Comic Books You Can Get For Free on 'Free Comic Book Day',0
49,Netflix confirms it will no longer support AirPlay capability,0
50,Taliban Kill Dozens of Security Forces in Major Strike in Afghanistan,0
51,Facebook’s terrifying news feed changes have claimed their first casualty—investors,0
52,On-demand shipping startup Shyp is shutting down,0
53,Elon Musk finally apologizes for his 'pedo' comment to Thai cave diver,0
54,How Did Things Get so Bad for Turkey’s Journalists?,0
55,Mobilizing an ER department to handle a mass casualty incident,0
56,"7 inmates dead, 17 injured in fights at South Carolina max security prison - WSB Atlanta",0
57,It's official: Debut of Paine Field passenger flights delayed by federal shutdown,0
58,Apple retail chief Angela Ahrendts out suddenly,0
59,Churchill Downs is one of the deadliest racetracks in America,0
60,"Britain's RAF claims its kill count from bombing ISIS in Syria and Iraq is 4,012 fighters, and exactly 1 civilian",0
61,Afghan security forces 'shrink sharply' - US watchdog,0
62,Toll in Assam liquor tragedy rises to 114; 12 arrested so far - Hindustan Times,0
63,‘Were 300 Mobiles Used by Trees?’ Rajnath Singh on Terrorists Killed in Balakot Air Strike - News18,0
64,"Pak Used to Return Beheaded Bodies of Jawans, Now They Release Pilot 'Within 48 hrs', Says Amit Shah - News18",0
65,At Least 18 Dead as Floods Sweep Iran: Emergency Services - News18,1
66,Game of Thrones May Be the Last True Water-Cooler Show. Is That Such a Bad Thing?,0
67,Taliban attack on security base in Afghanistan kills more than 100 - The Globe and Mail,0
68,Trump Rescinds Policy of Reporting Civilians Deaths by Drone Strike,0
69,"As Government Reopens, the New Congress Tries to Begin Again",0
70,Trump’s Top Economic Adviser Gary Cohn Is Resigning,0
71,The Atlantic Daily: “What Are You Talking About?”,0
72,Trump Hates International Treaties. His Latest Target: A Nuclear Weapons Deal With Russia.,0
73,Video shows attack on journalist while reporting on a mass overdose in northern California that left 1 dead and 12 severely injured,0
74,A 23-year-old Utah student allegedly threatened to commit a mass shooting at his university using a 3-D-printed gun,0
75,Shark attacks fisherman off UK coast,0
76,AMD prevails in patent fight with Vizio over TV graphics,0
77,"What Sarin, Chlorine, and Other Chemical Weapons in the News Actually Do",0
78,"Dozens dead, nearly 50 reported missing as heavy rain hits Japan",1
79,Afghanistan war: Taliban attend landmark peace talks,0
80,These US Troops Were Killed In Combat During Trump’s First Year In Office,0
81,"So, About the Satellite That's About to Crash Into Earth...",0
82,2 Marine Raiders honored for heroism in a secret gunfight with al Qaeda militants in North Africa,0
83,The chatbot bubble has officially burst,0
84,Another Casualty of the Government Shutdown: Hurricane Preparedness,0
85,Here's the new cast of the 'Charmed' remake and who they're playing,0
86,The CEO of a $736 billion asset manager that sidestepped the most toxic casualty of the financial crisis warns of the big risk in markets right now,0
87,A Double Suicide Bombing in Baghdad has Killed at Least 16 People,1
88,"Eight dead, others injured in 'mass casualty' event on Table Rock Lake",1
89,'Kwaussie': Dual citizen saga behind Australia's word of 2017,0
90,Khashoggi was a free speech warrior and the latest casualty in a global war on journalists,0
91,The Scariest Place for Investors in a Trade War - Wall Street Journal,0
92,"We don’t count casualties, only target, says Indian Air Force chief on Jaish camp strike - Hindustan Times",0
93,US service member killed in Afghanistan - Washington Examiner,0
94,I Tried to Treat My Depression with AI Therapy,0
95,9 of the very first editions of famous American newspapers,0
96,Facebook-Linked Marketer Plunges After Policy Shift,0
97,Another US service member dies in Afghanistan — the second in two days,0
98,Bitcoin drops sharply and suddenly — and now cryptos across the board are getting slammed,0
99,"Don't Worry, Disney Will Keep Deadpool R-Rated",0
100,Trump told the mayor of a disappearing island not to worry about sea-level rise — these photos show how grave the situation has become,0
101,Woman Fleeing in Car Is First Death Linked to Raging California Wildfires,1
102,This earthquake early warning system headed for Seattle could save your life - Q13 FOX,1
103,Move slow and break nothing,0
104,Insurance startups have raised billions as industry players fight tech disruptors,0
105,"Downtown stabbing leaves 4 injured, 2 critically - WISH-TV",0
106,Bug sake! Climate change is killing off insects,0
107,Blockchain startups forced to lay off staff to survive the bear market,0
108,The True Story of How Laurel Became Yanny,0
109,Tax Guy: House damaged by a hurricane? The new tax law changes your deduction options,0
110,Insurers brace for another round of catastrophe losses from Hurricane Florence,0
111,"2018 Tech in Memoriam: Goodbye to the iPhone SE, Google+, and More",0
112,"A Gunbattle Has Broken Out Near a Military Academy in Kabul, Report Says",0
113,London’s Oxford Circus On Lockdown After Reports of Shots Fired,0
114,"Pakistan Won't Hesitate to Use Nuke in Face of Defeat Against India, Warns Amarinder Singh - News18",0
115,Jolo blast death toll climbs to 22: military - ABS-CBN News,0
116,Protected Wildlife Is a Major Casualty In War-Torn Areas of Africa,0
117,3 key operatives died in Balakot - The Tribune India,0
118,"RIP, Prima Books—and Strategy Guides, a Cornerstone of Game Culture",0
119,Why can’t Americans buy the best Android phone of 2018? Scaremongers,0
120,London Launches World's First Contactless Payment Scheme For Street Performers,0
121,New Avengers 4 Set Pictures Reveal an Intriguing Costume Change for Captain America,0
122,‘Already Dead to Us’: Why the Trump Administration Has a Problem with the International Criminal Court,0
123,What to Know About the Active Shooter Situation at Florida High School,1
124,Apple suppliers see share prices slump after Trump’s latest trade war tweet,0
125,Michigan State University expected to fire dean after Larry Nassar scandal,0
126,Artist Uses GTA V To Explore American Gun Violence,0
127,Gaming company Razer finishes the day up 18% in trading debut,0
128,Deadly fighter jet crash in Ukraine appears to have claimed the life of a US pilot,0
129,Critic’s Notebook: The Void at the Heart of ‘Gurlitt: Status Report’,0
130,"Spare Us, Warren Buffett",0
131,Vietnam '67: Soldiers in la Guerra,0
132,"Trump Attacks Harley-Davidson, Mangles Facts",0
133,Have You Played… Heart’s Medicine – Time to Heal?,0
134,This War Of Mine expansion The Last Broadcast is out now,0
135,This is one of the US' biggest fears about a war with North Korea,0
136,A Year of Trump: Science Is a Major Casualty in the New Politics of Disruption,0
137,"Podcast: Lies, tricks and twists",0
138,Duke University’s huge misconduct fine is a reminder to reward rigour,0
139,Nvidia’s new AI creates disturbingly convincing fake videos,0
140,Craft Beer is the Latest Casualty of the Government Shutdown,0
141,Regrettable PM Did Not Call All-Party Meeting: 21 Oppn Parties Express Concern Over India-Pak Situation - News18,0
142,What babies' nappies tell us about Iran's economic woes,0
143,At War: Coming to Terms With Being a Marine Who Never Went to War,0
144,CBS decloak to drop a cease-and-desist on virtual Enterprise-D tour Stage 9,0
145,"Boeing is taking off after earnings, but analysts warn of turbulence ahead (BA)",0
146,Newest shutdown casualty: Trump’s own policies,0
147,"Trump wants NASA astronauts back on the moon, but it won't happen while he's in office",0
148,Das boot ist kaputt: German navy has zero working subs,0
149,"Ties: The More the Merrier, and the Messier",0
150,At Least 11 Were Wounded in an Attack on Save the Children in Afghanistan,0
151,Global markets are in turmoil as Italy's political crisis deepens,0
152,Facebook’s attitude towards researchers should worry you,0
153,"Donald Glover Disputes Idea He Was ‘Too Busy’ For ‘Deadpool,’ Tweets Mock Script",0
154,Thousands mourn Yemeni children killed by coalition air strike,0
155,A mental health scandal haunting America,0
156,Game of Thrones season 8: The betting odds on who rules and who dies - CNET,0
157,Outlandish Mars One project goes bankrupt before reaching Red Planet - CNET,0
158,Magecart fiends punch card-skimming code in Sotheby's Home website,0
159,U.S. hopes for return of 50 Korean War dead from North Korea within two weeks,0
160,That Time An Island In GoldenEye Disappointed A Generation,0
161,How dangerous was the Mexican-American War for American soldiers?,0
162,"As a conservative, Republican gun owner, I think we need better gun regulations - The Hill",0
163,"More Than 20 People Overdosed in a Single Day in New Haven, Officials Say",0
164,Some national parks won’t recover from the government shutdown for decades,0
165,A U.S. Service Member Has Been Killed in Afghanistan,0
166,A Pilot Whale Has Died in Southern Thailand After Swallowing 17 Pounds of Plastic Waste,0
167,Syria crisis: UN chief says Cold War is back,0
168,It ‘Feels Really Amazing.’ A WWII Soldier’s Remains Are Finally Coming Home Thanks to DNA Testing,0
169,What you need to know in advertising today,0
170,Global markets are getting routed as the slump in big tech grips investors,0
171,Nissan pulled planned reveal of longer-range Leaf from L.A.,0
172,Debate on budget is the casualty,0
173,"What the GOP Tax Bill Means for Climate, Energy, and the Environment",0
174,Why memes are the latest casualty in EU’s war on Silicon Valley,0
175,Millions of Muslim Pilgrims Gather at Mount Arafat to Mark Pinnacle of Hajj,0
176,Elon Musk deletes Facebook pages he didn’t even know he had,0
177,AT&T's Big Plan for HBO Is to Fill It With More Random Trash Like Netflix,0
178,Rescuers Are Searching Through the Rubble of the Iran-Iraq Quake That Killed 430,0
179,"175,000 Characters Have Died In 'Game Of Thrones' – But I Was The First",0
180,Huawei CFO's Arrest Could Be Last Straw For Vancouver's Struggling Housing Market - HuffPost Canada,0
181,"As BJP Gains Edge With Post-Pulwama Action, Congress Strategy for 2019 Polls to Focus on National Securit... - News18",0
182,USS Indianapolis historians resolve mystery of how many men died in 1945 attack,0
183,"With Iraqi-Kurdish Talks Stalled, Phone Diplomacy Averts New Clashes",0
184,Afghan government continues to lose ground to Taliban: SIGAR,0
185,Dozens of people reportedly overdosed on synthetic marijuana in a Connecticut park in a single day,0
186,"In 1997, Jeff Bezos touted Amazon's relationships with 'important strategic partners' like AOL — and 20 years later, his company has left them all in the dust (AMZN)",0
187,Encounter breaks out between militants and security forces in Anantnag,0
188,Net neutrality gets a second wind. The problem? Donald Trump.,0
189,Stoneman Douglas teen shot three times: 'I'm so grateful to be here' - Miami Herald,0
190,Saudi Coalition Air Strikes Kill At Least 20 At Yemen Wedding,0
191,Insider attack kills US service member in Afghanistan for the second time in less than 2 months,0
192,What's the best way to escape from a wildfire?,1
193,World Cup 2018 Knockout Stage: 2nd-Round Schedule and Bracket Predictions,0
194,We found a massive spam operation — and sunk its server,0
195,Police now have a final death toll for the Grenfell Tower fire,1
196,This minor ‘Walking Dead’ character is low-key one of the ultimate survivors in the zombie apocalypse,0
197,New York Today: New York Today: Can the City Prevent Terror Attacks?,0
198,How to Avoid a Flooded Inbox When You Return From the Holidays,0
199,The Avalanche of Rock ’n’ Roll Death,0
200,Italy avalanche kills British and French skiers,0
201,At least 10 people hit by Swiss avalanche,0
202,"Volcano Erupts in Japan, Killing Soldier and Injuring Several at Ski Resort",1
203,Drivers capture avalanche tearing down side of Colorado mountain,1
204,Deadly avalanche in French Alps kills four,1
205,Crans Montana: Rescuers hunt for skiers in Swiss avalanche,1
206,Avalanche and volcano hit Japan ski resort,1
207,Boy rescued after 40 minutes buried under avalanche,1
208,Recruit Your Friends to Stop Online Harassment,0
209,"To win back consumers, big brands should invest in R&D and innovation",0
210,11 of Our Best Weekend Reads,0
211,"Kernel panic! What are Meltdown and Spectre, the bugs affecting nearly every computer and device?",0
212,Snowboarder causes avalanche and races to make it out alive,1
213,Acer's Chromebook Spin 13 Could Be the Most Well-Rounded Chrome OS Laptop On the Market,0
214,15 best viral videos of 2018 (so far),0
215,I DNA Tested My Cat and She Was Not Happy About It,0
216,Seven die in massive Alps snowfall from Germany to Italy,1
217,"Insider: For the 52 Places Job, 9,000 Applicants (and an Avalanche of Unicorns)",0
218,5G Is Going to Be an Incredibly Tough Sell in 2019,0
219,"Ice climber caught in avalanche near Field, B.C. succumbs to her injuries - CTV News",1
220,Rittich steals win for Flames against NHL’s best line - Sportsnet.ca,0
221,Rescuer describes harrowing avalanche rescue of… - The Mercury News,1
222,"2 Injured in Avalanche, Missing Snowboarder Found Dead at NorCal Ski Resort as Winter Storm Slams State - KTLA",1
223,"An Avalanche Sweeps Away a Snowboarder, but His Friends Rescue Him",1
224,The Rite Press takes low-tech coffee making to high-tech highs,0
225,"Major avalanche hits Mammoth Mountain, searches underway - OCRegister",1
226,"2 climbers died in an avalanche on Ben Nevis, Britain's highest mountain",1
227,"I'm Pro Skier Grete Eliassen, and This Is How I Work",0
228,Videos show 2 different avalanches pummeling a Colorado interstate within minutes of each other,1
229,Europe weather: Heavy snow cuts off Alps ski resorts,1
230,4 Powerful Lessons My Facebook Prank Taught Me About The Power Of Social Media Marketing,0
231,Investment In Marijuana Industry Has Grown 600 Percent so Far in 2018,0
232,"40-year-old Killed, Two Injured as Avalanche Hits J&K’s Doda - News18",1
233,Jets taking precautions to not trigger the Avalanche - Winnipeg Free Press,1
234,Avalanche hand sloppy Maple Leafs another home loss - TSN,1
235,Five reasons Maple Leafs should be concerned following loss to Avalanche - Sportsnet.ca,0
236,Apple Delays HomePod Speaker Release to ‘Early 2018’,0
237,Ignorance Is Not Bliss: How Successful Business Leaders Deal With Information Overload,0
238,"There's a second 'Rage 2' trailer, and this one shows you the actual game",0
239,Capture 300% greater conversions with AI-powered voice and bots (VB Live),0
240,Wanna See Around Corners? Better Get Yourself a Laser,0
241,4 Skiers Killed and 1 Missing in Avalanche in France,1
242,Environment Canada issues snowfall warning for Metro Vancouver - Daily Hive,1
243,Our First Proper Look At Rage 2,0
244,‘Avalanche!’ Blizzard Leaves 1 Dead at California Ski Resort,1
245,Fyre Fest organizer pleads guilty to two counts of wire fraud,0
246,Skier Found Dead and 3 Others Still Missing After Avalanche in Swiss Alps,1
247,Hot cross bun cones are the Frankenfectionery we're here for this Easter,0
248,South Korea prosecutors are investigating Apple’s iPhone battery controversy,0
249,Just Cause 4 leaks via Steam,0
250,Avalanche of new Kavanaugh accusers could kill his nomination and even sink his current job,0
251,Bing Spotlight uses AI to highlight developing news stories,0
252,"Beneath a Melting Glacier, a Peruvian Town Prepares For the Worst",0
253,Holiday party ideas to encourage your friends to choose yours,0
254,"Hiker rescued after being caught in avalanche near Mount Seymour, 1 still missing - Global News",1
255,This 'Red Dead Redemption 2' bundle comes with an Xbox One X and four more games,0
256,New Swedish Robot Game Sure Looks Like Simon Stålenhag's Art,0
257,Avalanche looking to make back-to-back playoff appearances,0
258,Sen. McCaskill says will vote against U.S. Supreme Court nominee Kavanaugh,0
259,"Boy, 12, Survives Avalanche That Buried Him For 40 Minutes",1
260,"Capitals trade Orpik, Grubauer to Avalanche",1
261,Steve Wynn: Casino mogul resigns from Wynn Resorts,0
262,Avalanche Kills 3 German Skiers in Austria With 4th Still Missing,1
263,"Venezuela, India, North Korea: Your Monday Briefing",0
264,People are coming to Ariana Grande's defense after receiving an avalanche of blame for Mac Miller's death,0
265,"At Shiffrin’s Alma Mater, Future Ski Champions for $58,000 a Year",0
266,Leaked Video Seems To Show Open-World Harry Potter Game,0
267,Large Avalanche Hits California’s Busy Mammoth Ski Resort,1
268,Ukraine activist Kateryna Handzyuk dies after acid attack,0
269,Avalanche sign defenseman Mark Barberio to 2-year deal,0
270,"1 dead, 1 injured after an avalanche at a ski resort in New Mexico",1
271,"California storm kills 1, avalanche injures 2 at ski resort - ABC News",1
272,"Congressional Candidates, Not Mueller, Could Decide Trump’s Future",0
273,Matt Damon attempts to speak about sexual harassment and shows he STILL doesn't get it,0
274,Rare Snow Has Turned Greek Ruins Into a Winter Wonderland This Week,0
275,"We asked financial planners for the best strategy to tackle credit-card debt, and there are 2 clear favorites",0
276,Rage 2 combines the action of Doom and Mad Max this spring,0
277,2 teen boys found dead after going missing on snowshoeing trip: Officials,0
278,Avalanche Strikes 6 U.S. Army Soldiers at Smugglers Notch in Vermont,1
279,Skier 'chased' by massive avalanche,1
280,"Semyon Varlamov makes 43 saves, Avs beat Canadiens 2-0",0
281,Fast-skating Avs center MacKinnon speeds toward success,0
282,Avalanche hope to turn playoff appearance into another run,0
283,Upstart Avalanche maintain same something-to-prove attitude,0
284,Avalanche can land super prospect Jack Hughes with Senators collapse,0
285,"The incredible comeback story of Mirai Nagasu, the figure skater who nailed a trick no other American woman who has ever landed at the Olympics",0
286,10 hidden gems from 2018 you need to binge over the holiday break,0
287,Colorado Avalanche to host outdoor game in 2020,0
288,"How to Build the Best Snowman, According to Science",0
289,Landeskog scores winner as Avs get past Habs - TSN,0
290,WATCH: Video shows 2 skiers falling down a ravine,0
291,WATCH: Snowboarder's escape from avalanche caught on video,1
292,"19 dead elk found in Oregon were likely killed by avalanche, biologist says",1
293,1 dead in avalanche outside Aspen: Sheriff,1
294,Points of honor: Avalanche boast top line in hockey,0
295,"MacKinnon, Avalanche cruise past Blackhawks 5-1",0
296,"Swiss Alps avalanche leaves 3 dead, 2 injured near glacier",1
297,Hornqvist's natural hat trick leads Penguins by Colorado 6-3,0
298,Avalanche rescue dog school in Utah prepares pups to save lives,0
299,Astonishingly detailed map of the Milky Way will blow your mind,0
300,"Google said to plan first smartwatch, budget phones for 2019",0
301,Canucks vs Colorado gameday preview - TSN,0
302,McGinn scores 2 as Hurricanes beat Avalanche 3-1,0
303,"iPhone X at Six Months, Janelle Monáe's Odyssey, and Cat DNA: The Best Gizmodo Stories of the Week",0
304,Is It Ok to Splurge on Something Frivolous When You Have Debt to Pay Off?,0
305,"1 Skier Dead, 1 Critically Injured After Being Buried by Avalanche at New Mexico Ski Resort",1
306,"Rage 2 Is Primarily Being Developed by Avalanche Studios, Not Id",0
307,How to Simulate an Avalanche – And All Its Subtle Mechanics,0
308,Zener Diode Tutorial,0
309,Manafort and Cohen dominate the front pages of major newspapers after Trump's nightmare Tuesday,0
310,"AP sources: Avalanche sign Grubauer, begin to buy out Orpik",0
311,Sissons nets hat trick to lead Predators past Avalanche 4-1,0
312,"Smith's goal, assist leads Predators over Avalanche 5-1",0
313,RAGE 2 is a carnival of carnage fans of DOOM won't want to miss,0
314,This fresh meteoroid impact on Mars triggered a dusty avalanche,0
315,"Nikolas Cruz fans send provocative photos, adoring letters to confessed killer",0
316,Glacier National Park Is on Fire,1
317,Tim Willits interview: Rage 2 gets crazier with an injection of Just Cause and Mad Max,0
318,Six soldiers caught in avalanche during mountain training in Vermont,1
319,Keith scores in OT to lift Blackhawks over Avalanche 2-1,0
320,"NHL draft lottery set, with US center Jack Hughes the prize",0
321,Bernie Sanders Hit With Avalanche Of Criticism Over Amazon-Bashing Bill,0
322,"MacKinnon ups goal streak to 4, Avalanche beat Sabres 6-1",0
323,Authorities Warn of High Avalanche Risk in Alps After 2 Deaths in Heavy Snow,1
324,Rantanen lifts Avalanche over Ducks 4-3 with 1.3 left in OT,0
325,Just Cause 4 Hits Xbox Game Pass Only Three Months After Release,0
326,Rage 2 Will Have Flying Vehicles,0
327,Landeskog's hat trick leads Avalanche past Devils 5-3,0
328,"Schenn scores twice, Blues rout Avalanche 6-1",0
329,"OxyContin maker cuts sales staff, won't hawk drug to docs",0
330,"Wheeler, Scheifele lead Jets past Avalanche 6-1",0
331,"Landeskog powers Avs to big 3rd period, 6-3 win over Ottawa",0
332,Flames score 5 straight in 3rd to rally past Avalanche 6-5,0
333,"O'Reilly scores short-handed in OT, Blues beat Avs 4-3",0
334,"Boy, 12, survives avalanche that buried him for 40 minutes",1
335,"McDavid's hat trick leads Oilers over Avalanche, 4-2",0
336,NHL playoffs: Which 0-2 teams have best shot at rallying?,0
337,MacKinnon: Bednar exchange 'unacceptable' - TSN,0
338,Richardson's 2 late goals lead Coyotes past Avalanche 6-4,0
339,"Maple Leafs underdogs, Flames favourites on Saturday NHL odds - Sportsnet.ca",0
340,Colorado mountains expected to get more than a foot of snow this holiday weekend - The Denver Channel,0
341,"Using HAProxy as an API Gateway, Part 1",0
342,"Landeskog, Grubauer lead Avalanche to 2-1 win over Canadiens",0
343,Rage 2: A Love Affair Between Two of the World’s Coolest Developers,0
344,Jones scores in OT to lift Blue Jackets over Avalanche 5-4,0
345,Vegas clinches playoff spot with 4-1 win over Avalanche,0
346,Rage 2 is the mutant spawn of two very different shooters,0
347,Head Transplant Doctor Claims First Successful Human Head Transplant...on a Corpse,0
348,"Ducks help playoff chances, beat Avalanche 4-3 in OT",0
349,"Price stops 28 shots, Canadiens beat Avalanche 3-0",0
350,"Injured Nathan MacKinnon didn't want to sit out a game, so he comes to All-Star Weekend",0
351,How these dogs are trained to save lives in an avalanche,0
352,Duchene lifts Sens over Avs in first game vs Colorado,0
353,Pulock lifts Islanders to 4-3 win over Avalanche in OT,0
354,"Giordano has 3 assists, Flames down Avalanche 5-3",0
355,Soderberg's 1st hat trick leads Avalanche past Leafs 6-3,0
356,"Wheeler, Scheifele help Jets beat Avalanche 7-4",0
357,Soldiers unleash tear gas amid tension on Venezuela’s border,0
358,Police: 1 dead after avalanche hits Swiss ski resort,1
359,Landeskog out 4-to-6 weeks with upper-body injury,0
360,Guy Hacks Printers Around The World To Tell People To Subscribe To Pewdiepie,0
361,A Word With: Diane Kruger Returns Home and Wins Big,0
362,Avalanche beat Sharks 3-1 for 9th straight win at home,0
363,6 Iconic Rebellions in Video Games,0
364,Venezuela crisis: Guaidó sets up possible confrontation over US aid,0
365,Toronto Maple Leafs: Kasperi Kapanen and Andreas Johnsson are Untouchable - Editor In Leaf,0
366,Weather warning: 5-10 cm of snow could fall over parts of Metro Vancouver - CTV News,1
367,There’s a swelling avalanche of evidence that investors are getting more and more worried about another stock-market crash,0
368,"3 German skiers killed in avalanche, 4th missing",1
369,"Rage 2 Plays A Lot Like Doom, And That's Awesome",0
370,Motorist Captures Massive Avalanche Heading Right For The Highway In Colorado,0
371,Kevin Spacey Faces Felony Charge in Misconduct Case,0
372,Avalanche go from worst to playoffs by beating Blues,0
373,"Predators beat Avalanche 4-1, Laviolette earns win No. 600",0
374,Grubauer's 44 saves help Avalanche overcome Stars 3-1,0
375,Ortovox recalls avalanche transceivers to fix potentially risky software bug,0
376,"Review: In ‘Fosse/Verdon,’ a Portrait of the Artist as Problematic Fave",0
377,Oh my god this leak of a Harry Potter RPG has blown my tiny muggle mind,0
378,New Mexico ski resort says 2 pulled from avalanche,1
379,Sorensen's 2 goals lead Sharks past Avalanche 4-3,0
380,This crazy new game looks like 'Grand Theft Auto' meets 'Mad Max',0
381,Mexico's dominant cartel is lashing out dissidents and rivals — and it could trigger an avalanche of violence,0
382,"Avalanche stay alive, beat Predators 2-1 to force Game 6",0
383,Snowboarder Brock Crouch survives avalanche that buried him for five minutes,1
384,Avalanche break 6-game skid with 6-1 win over Rangers,0
385,Snap has lost its Spectacles division chief,0
386,SpaceX reportedly lost its mysterious Zuma payload,0
387,How Do I Recover Old (or Lost) Emails?,0
388,How to Reunite With Pets Lost in the California Wildfires,0
389,"Play Carcassone, Lost Cities, and More Eurogames for Free Online",0
390,How Alex Jones lost his info war,0
391,Dive into the long lost SimCity NES port,0
392,Headphone jack fans lost out to fullscreen smartphones in 2018,0
393,How I Lost 45 Pounds in a Year,0
394,Save Your AirPods' Serial Number to Replace Lost Parts,0
395,Nintendo’s gacha RPG ‘Dragalia Lost’ arrives on mobiles,0
396,Spacesuit 'take me home' feature could save lost astronauts,0
397,Facebook has lost $60 billion in value,0
398,I Stopped Using Exclamation Points and Lost All My Friends,0
399,A City Lost and Found,0
400,Netflix's 'Lost in Space' reboot premieres April 13th,0
401,Alexa lost its voice... for real this time,0
402,The Morning After: Netflix's new 'Lost in Space' trailer,0
403,"Instead of Buying Bitcoin, Play This Bitcoin Trading Game",0
404,How Apple Lost Its Place in the Classroom,0
405,Why I Love Getting Lost,0
406,"In the Russian Investigation, Clues Were Lost in Translation",0
407,The Lost Children of the Trump Administration,0
408,China’s Didi reportedly lost a staggering $1.6 billion in 2018,0
409,Hillary Clinton Lost. The Play Won.,0
410,People lost their damn minds when Instagram accidentally went horizontal,0
411,If You Find a Lost Wallet You Can Return It By Dropping It in a Mailbox,0
412,These Abandoned Theme Parks Are Guaranteed To Make You Nostalgic,0
413,How To Build a PC,0
414,The highest flying consumer tech stocks have lost $1 trillion,0
415,Why the Perfect Red-State Democrat Lost,0
416,What to Do When You've Found a Lost Dog or Cat,0
417,Redemption of a Lost Prodigy,0
418,"Roundup Lost a Lawsuit, But We Still Don't Know if It Causes Cancer",0
419,Tesla just lost its head of global finance,0
420,"At 9/11 Memorial, Remembering Those Lost",0
421,How to Handle Sudden Unemployment,0
422,University fined for lost plutonium,0
423,What Amazon lost (and made) on Amazon Prime Day,0
424,Facebook just lost another user — New Zealand’s privacy commissioner,0
425,SpaceX apparently lost the classified Zuma payload from latest launch,0
426,Original Content podcast: Netflix successfully reinvents ‘Lost in Space’,0
427,Quadriga: The cryptocurrency exchange that lost $135m,0
428,Switch Online adds 'Punch-Out' and 'Super Mario Bros.: The Lost Levels',0
429,The EPA has lost its mind,0
430,A Wildfire Was Extra Close to Home for This LA Photographer,1
431,Drone fleets could find lost hikers in forests without using GPS,0
432,Uber lost over $1 billion in Q3 as it closes in on an IPO,0
433,How to Find Old Websites That Google Won’t Show,0
434,Share Checked Luggage With Your Travel Companion in Case a Bag Gets Lost,0
435,Prehistoric art hints at lost Indian civilisation,0
436,What to Eat When the Power Goes Out,0
437,Opinion: At 9 He Lost His Mom to Gang Violence. At 12 He Lost His Dad to Trump’s Immigration Policies.,0
